link_id,source_level,target_level,retention_pct,x,y,y2
National_to_Elite,National,Elite,44.4,606.2,203.0,217.0
National_to_Elite,National,Elite,44.4,609.8,203.0,217.0
National_to_Elite,National,Elite,44.4,613.3,203.0,217.0
National_to_Elite,National,Elite,44.4,616.9,203.0,217.0
National_to_Elite,National,Elite,44.4,620.5,203.0,217.0
National_to_Elite,National,Elite,44.4,624.1,203.0,217.0
National_to_Elite,National,Elite,44.4,627.7,203.0,217.0
National_to_Elite,National,Elite,44.4,631.2,203.0,217.0
National_to_Elite,National,Elite,44.4,634.8,203.0,217.0
National_to_Elite,National,Elite,44.4,638.4,203.0,217.0
National_to_Elite,National,Elite,44.4,642.0,203.0,217.0
